"word","pos","translation_fr","definition_l2","example_sentence","domain","register"
"conundrum","noun","Énigme / Dilemme insoluble","A problem that is difficult to solve because every available option has a serious drawback.","Whether to hedge the currency exposure or simply absorb it is a conundrum the treasury team faces every quarter.","finance","formal"
"ubiquitous","adjective","Omniprésent / Partout à la fois","Found everywhere; so common that you stop noticing it.","Transformer architectures have become ubiquitous across every branch of machine learning.","ai","formal"
"meticulous","adjective","Méticuleux / Minutieux","Extremely careful about small details, to the point of checking everything.","Authenticating a vintage watch demands meticulous inspection of the movement and the serial numbers.","watches","neutral"
"ambivalent","adjective","Ambivalent / Partagé (sentiments)","Holding two opposing feelings about something at the same time, so unable to decide.","He felt ambivalent about extending the exchange semester by another term.","student-life","neutral"
"paradigm","noun","Paradigme / Modèle de référence","A framework of assumptions that shapes how a whole field thinks about its subject.","Self-supervised pre-training marked a genuine paradigm shift in how models are trained.","ai","formal"
"resilience","noun","Résilience / Capacité à rebondir","The ability to recover quickly after damage or difficulty.","The portfolio showed surprising resilience through the March selloff.","finance","neutral"
"juxtapose","verb","Juxtaposer / Mettre côte à côte pour comparer","To place two things side by side so the contrast between them becomes visible.","The dashboard juxtaposes forecast revenue against actual bookings on a single axis.","data","formal"
"ephemeral","adjective","Éphémère / De courte durée","Lasting a very short time; gone almost as soon as it appears.","Attention on a new AI product is ephemeral; most launches are forgotten within a fortnight.","ai","formal"
"innocuous","adjective","Inoffensif / Anodin","Appearing entirely harmless — often used when something turned out not to be.","An innocuous-looking config change brought down the entire deployment.","engineering","neutral"
"pragmatic","adjective","Pragmatique / Réaliste","Judging by what actually works rather than by theory or principle.","We took a pragmatic approach and shipped the smallest version that actually worked.","engineering","neutral"
"vindictive","adjective","Vindicatif / Rancunier","Wanting to punish someone who has wronged you, often quietly and over time.","A vindictive supplier can quietly deprioritise your orders for months without ever saying so.","business","neutral"
"convoluted","adjective","Alambiqué / Compliqué à l'excès","So complicated and twisted that it becomes hard to follow.","The pricing logic had grown so convoluted that nobody in the team could explain it.","engineering","neutral"
"ostensible","adjective","Apparent / Prétendu (mais pas forcément vrai)","Stated as the reason, while the real reason is something else.","The ostensible reason for the merger was scale; the real driver was access to the Asian market.","business","formal"
"nuance","noun","Nuance / Subtilité","A small distinction that changes the meaning, easily missed.","A DCF hides a great deal of nuance inside the terminal growth assumption.","finance","formal"
"discern","verb","Discerner / Distinguer","To perceive something that is not obvious, especially by looking carefully.","It is difficult to discern a genuine signal from noise in a sample this small.","data","formal"
"candid","adjective","Candide / Franc, sincère","Honest and direct, especially when the truth is uncomfortable.","Her candid feedback on my application was far more useful than polished praise.","student-life","neutral"
"arbitrary","adjective","Arbitraire / Sans justification claire","Chosen without a reason that can be defended; it could just as well have been otherwise.","Choosing five clusters felt arbitrary until we ran the silhouette analysis.","ai","formal"
"coherent","adjective","Cohérent / Logique","Holding together logically, so each part follows from the last.","The pitch needs a coherent narrative, not merely a sequence of impressive charts.","business","neutral"
"elicit","verb","Susciter / Provoquer (une réaction)","To draw out a response or reaction that would not have come on its own.","The survey was designed to elicit honest answers about what customers would actually pay.","business","formal"
"exacerbate","verb","Aggraver / Exacerber","To make an already bad situation worse.","Port congestion in Singapore exacerbated delays right across the supply chain.","maritime","formal"
"feasible","adjective","Faisable / Réalisable","Possible to do with the time, money and people actually available.","Is it feasible to deploy the whole pipeline before the semester ends?","engineering","neutral"
"hinder","verb","Entraver / Gêner","To slow something down or make it harder, without stopping it entirely.","Poor documentation hinders every new developer who joins the project.","engineering","neutral"
"inevitable","adjective","Inévitable","Certain to happen; impossible to prevent.","Some drift in model performance is inevitable once the data distribution shifts.","ai","neutral"
"intricate","adjective","Complexe / Compliqué (avec finesse)","Made of many small parts fitted together with great precision.","The perpetual calendar is the most intricate complication on the workshop bench.","watches","neutral"
"lucid","adjective","Lucide / Clair d'esprit","Expressed so clearly that a difficult idea becomes easy to follow.","His explanation of gradient descent was the most lucid account I had read.","ai","formal"
"meager","adjective","Maigre / Insuffisant","Far smaller than what is needed.","The startup ran on a meager budget for its first two years.","business","neutral"
"notion","noun","Notion / Idée","An idea or belief, often loosely held rather than carefully worked out.","The notion that markets are perfectly efficient is hard to defend empirically.","finance","formal"
"obsolete","adjective","Obsolète / Dépassé","No longer used, because something better has replaced it.","Quartz movements rendered a whole generation of mechanical calibres commercially obsolete.","watches","neutral"
"peripheral","adjective","Périphérique / Secondaire","On the edge of what matters; not central to the main question.","Offline sync is essential; the stats dashboard is peripheral for now.","engineering","formal"
"plausible","adjective","Plausible / Crédible","Believable on the surface, though not necessarily true.","The forecast is plausible, but it rests on one very optimistic assumption.","finance","neutral"
"precarious","adjective","Précaire / Instable","Unstable, and likely to collapse if one thing goes wrong.","A boutique that depends on three suppliers is in a precarious position.","business","neutral"
"prevalent","adjective","Répandu / Prévalent","Widespread within a particular group or place.","Missing values were far more prevalent in the older records than in recent ones.","data","formal"
"reciprocal","adjective","Réciproque / Mutuel","Given by each side to the other; going both ways.","Good professional relationships are reciprocal rather than transactional.","student-life","formal"
"redundant","adjective","Redondant / Superflu / Licencié (UK)","Not needed, because the same thing is already provided elsewhere.","The reviewer flagged three redundant checks that the type system already guaranteed.","engineering","neutral"
"stark","adjective","Frappant / Austère / Cru","Sharply and plainly obvious, with nothing softening it.","There was a stark contrast between retail margins in Singapore and in Europe.","business","neutral"
"subtle","adjective","Subtil","So slight that it takes attention to notice, yet it changes things.","There is a subtle difference between correlation in the sample and in the population.","data","formal"
"tangible","adjective","Tangible / Concret","Real and concrete enough to be measured or pointed at.","Recruiters want tangible results, not a list of technologies you have touched once.","student-life","neutral"
"tentative","adjective","Provisoire / Hésitant","Provisional and not yet confirmed; may still change.","We reached a tentative agreement on the internship dates, pending visa confirmation.","student-life","neutral"
"thorough","adjective","Approfondi / Minutieux","Complete in every detail, leaving nothing unchecked.","The reviewer ran a thorough pass over the database migration before we deployed it.","engineering","neutral"
"trivial","adjective","Insignifiant / Trivial","Of so little importance that it does not deserve attention.","The bug looked trivial and cost us an entire afternoon.","engineering","neutral"
"unprecedented","adjective","Sans précédent / Inédit","Never having happened before, so there is nothing to compare it to.","Container shipping rates reached unprecedented levels that year.","maritime","formal"
"viable","adjective","Viable / Réalisable","Able to work and keep working under real conditions.","A subscription-free flashcard app is only viable if the hosting costs nothing.","engineering","neutral"
"volatile","adjective","Volatile / Instable / Explosif (caractère)","Changing suddenly and unpredictably, often sharply.","Freight rates are notoriously volatile, which makes forecasting margins difficult.","maritime","formal"
"wary","adjective","Méfiant / Prudent","Cautious because you suspect a risk that is not yet proven.","Be wary of any backtest that has never seen out-of-sample data.","finance","neutral"
"adept","adjective","Habile / Compétent","Highly skilled at something, especially something difficult.","She is adept at turning a messy dataset into something a board can actually read.","data","neutral"
"aloof","adjective","Distant / Réservé","Distant and uninvolved, whether by choice or by appearance.","He came across as aloof at the networking evening, though he was simply exhausted.","student-life","neutral"
"ambiguous","adjective","Ambigu","Open to more than one interpretation, so the intended meaning is unclear.","An ambiguous specification is precisely how two agents produce incompatible implementations.","engineering","formal"
"arduous","adjective","Ardu / Pénible","Requiring sustained hard effort over a long period.","The visa process for the internship turned out to be long and arduous.","student-life","neutral"
"banal","adjective","Banal / Ordinaire","So ordinary and predictable that it is dull.","Most build-in-public posts are banal; the interesting ones show the failures.","business","neutral"
"brevity","noun","Brièveté / Concision","The quality of using few words.","In a cover letter, brevity signals confidence more reliably than length ever does.","student-life","formal"
